DATE,Log_Return
2020-01-01,0.047086746
2020-01-02,0.073512964
2020-01-03,0.029060623
2020-01-04,0.021524781
2020-01-05,0.08586945
2020-01-06,0.010930122
2020-01-07,0.02763685
2020-01-08,0.0045939074
2020-01-09,0.004309079
2020-01-10,-0.014508766
2020-01-11,-0.0060290666
2020-01-12,-0.031584475
2020-01-13,0.0025114175
2020-01-14,-0.048540257
2020-01-15,0.040155515
2020-01-16,0.004617611
2020-01-17,-0.021203803
2020-01-18,0.03896172
2020-01-19,-0.016673712
2020-01-20,0.001775737
2020-01-21,-0.019893432
2020-01-22,0.008782114
2020-01-23,0.026914347
2020-01-24,-0.029647077
2020-01-25,0.005905463
2020-01-26,0.0038413105
2020-01-27,-0.005977202
2020-01-28,0.0156192435
2020-01-29,0.0073522194
2020-01-30,0.0008545889
2020-01-31,-0.024908137
2020-02-01,0.005071937
2020-02-02,-0.042622775
2020-02-03,0.030459318
2020-02-04,-0.0480131
2020-02-05,0.04314725
2020-02-06,-0.009440028
2020-02-07,-0.003613524
2020-02-08,-0.037916396
2020-02-09,-0.034323838
2020-02-10,0.006167117
2020-02-11,-0.017759206
2020-02-12,-0.055096008
2020-02-13,0.025093509
2020-02-14,-0.033616386
2020-02-15,0.026337966
2020-02-16,0.014686922
2020-02-17,-0.009853338
2020-02-18,-0.04244836
2020-02-19,0.034529418
2020-02-20,-0.01984213
2020-02-21,-0.020722322
2020-02-22,-0.0020965515
2020-02-23,-0.016637022
2020-02-24,0.018627277
2020-02-25,-0.05868552
2020-02-26,0.019992521
2020-02-27,0.010133389
2020-02-28,-0.036411867
2020-02-29,0.02805439
2020-03-01,-0.0035189555
2020-03-02,0.036731686
2020-03-03,-0.013877526
2020-03-04,-0.037909947
2020-03-05,-0.0014727323
2020-03-06,-0.018226989
2020-03-07,-0.042613547
2020-03-08,0.08731956
2020-03-09,-0.046974428
2020-03-10,-0.042071693
2020-03-11,-0.01570936
2020-03-12,-0.010964243
2020-03-13,-0.012378618
2020-03-14,-0.0035377773
2020-03-15,0.06300869
2020-03-16,0.018995928
2020-03-17,0.006823629
2020-03-18,0.016391564
2020-03-19,0.039649945
2020-03-20,-0.019737994
2020-03-21,-0.041032564
2020-03-22,-0.011049716
2020-03-23,-0.03138057
2020-03-24,-0.0027960343
2020-03-25,0.0013060614
2020-03-26,0.012181961
2020-03-27,-0.024432877
2020-03-28,-0.0059160995
2020-03-29,-0.074991904
2020-03-30,0.013761301
2020-03-31,0.011351526
2020-04-01,0.035662897
2020-04-02,0.038007457
2020-04-03,-0.04090766
2020-04-04,0.083348475
2020-04-05,-0.00497204
2020-04-06,0.031539276
2020-04-07,0.01836599
2020-04-08,-0.0027610103
2020-04-09,0.05087259
2020-04-10,0.013228899
2020-04-11,0.009360778
2020-04-12,0.059158895
2020-04-13,0.042657275
2020-04-14,-0.0009198918
2020-04-15,-0.034316707
2020-04-16,0.027679598
2020-04-17,-0.048730772
2020-04-18,0.058126952
2020-04-19,-0.021699153
2020-04-20,-0.0038495641
2020-04-21,0.0015754635
2020-04-22,0.019163927
2020-04-23,0.008868714
2020-04-24,0.05294697
2020-04-25,-0.0013756573
2020-04-26,-0.029032279
2020-04-27,-0.0041602184
2020-04-28,-0.011743704
2020-04-29,0.013946416
2020-04-30,0.015309033
2020-05-01,-0.022567857
2020-05-02,0.019226003
2020-05-03,-0.019850686
2020-05-04,0.020968312
2020-05-05,0.039716702
2020-05-06,0.011123725
2020-05-07,-0.0005585304
2020-05-08,-0.0070319157
2020-05-09,-0.005722527
2020-05-10,0.010329308
2020-05-11,0.008893789
2020-05-12,0.010284363
2020-05-13,0.01648458
2020-05-14,0.005659892
2020-05-15,0.062505655
2020-05-16,-0.03087057
2020-05-17,0.016330762
2020-05-18,0.016062979
2020-05-19,-0.0073331567
2020-05-20,-0.012373952
2020-05-21,0.017929386
2020-05-22,0.01986454
2020-05-23,-0.013308521
2020-05-24,-0.0025224534
2020-05-25,0.012935804
2020-05-26,0.0142536005
2020-05-27,-0.0009735789
2020-05-28,-0.0049838643
2020-05-29,-0.0023412856
2020-05-30,0.0008381457
2020-05-31,0.038162228
2020-06-01,0.016186185
2020-06-02,0.0062779607
2020-06-03,-0.01634269
2020-06-04,-0.027811691
2020-06-05,-0.019314747
2020-06-06,0.024558749
2020-06-07,0.023673018
2020-06-08,-0.067067154
2020-06-09,0.057248883
2020-06-10,0.015093353
2020-06-11,0.009158838
2020-06-12,0.0058272965
2020-06-13,-0.013383544
2020-06-14,0.005208475
2020-06-15,-0.000243869
2020-06-16,0.005746075
2020-06-17,0.007132586
2020-06-18,0.003771599
2020-06-19,0.013541179
2020-06-20,-0.036465153
2020-06-21,0.007719781
2020-06-22,0.0025811698
2020-06-23,0.031968914
2020-06-24,0.036363762
2020-06-25,0.02658075
2020-06-26,-0.011354364
2020-06-27,-0.043932628
2020-06-28,0.04392345
2020-06-29,0.060412034
2020-06-30,0.034794237
2020-07-01,0.03518868
2020-07-02,-0.06143924
2020-07-03,-0.07133565
2020-07-04,-0.034790665
2020-07-05,-0.013869178
2020-07-06,-0.014822883
2020-07-07,-0.027914152
2020-07-08,-0.026856745
2020-07-09,0.01514923
2020-07-10,-0.04864119
2020-07-11,0.05542165
2020-07-12,-0.019399207
2020-07-13,0.011907155
2020-07-14,-0.0067124814
2020-07-15,-0.032159027
2020-07-16,-0.032648835
2020-07-17,0.013709036
2020-07-18,0.0056930818
2020-07-19,0.0023602135
2020-07-20,-0.005728451
2020-07-21,-0.041798215
2020-07-22,0.02350023
2020-07-23,-0.035193473
2020-07-24,0.0115396865
2020-07-25,0.019468414
2020-07-26,-0.019595465
2020-07-27,0.017456315
2020-07-28,-0.022909533
2020-07-29,0.023843855
2020-07-30,-0.0047733076
2020-07-31,0.019929964
2020-08-01,-0.01348113
2020-08-02,-0.012247193
2020-08-03,-0.020500887
2020-08-04,-0.026197115
2020-08-05,0.036404967
2020-08-06,-0.019701034
2020-08-07,-0.0012573902
2020-08-08,-0.02388108
2020-08-09,-0.011072334
2020-08-10,-0.009582071
2020-08-11,-0.022985758
2020-08-12,-0.005050491
2020-08-13,0.0013998785
2020-08-14,0.00738739
2020-08-15,0.041840352
2020-08-16,0.0451739
2020-08-17,0.00043806699
2020-08-18,0.028565248
2020-08-19,-0.005612438
2020-08-20,-0.017174762
2020-08-21,0.0533813
2020-08-22,0.022181433
2020-08-23,0.030740472
2020-08-24,-0.042765003
2020-08-25,-0.0582197
2020-08-26,0.001147602
2020-08-27,0.021378955
2020-08-28,-0.012777932
2020-08-29,0.029884195
2020-08-30,-0.0085197855
2020-08-31,0.0009168723
2020-09-01,0.027173778
2020-09-02,-0.015102986
2020-09-03,0.033248115
