pipeline,seed,metric_name,scale,value
A,46,acf_lag6_std,OD,0.1875401128317654
A,46,acf_lag7_mean,OD,-0.0114141699453925
A,46,acf_lag7_std,OD,0.1719170941621468
A,46,acf_lag8_mean,OD,-0.0094622488771148
A,46,acf_lag8_std,OD,0.1439376938315277
A,46,acf_lag9_mean,OD,-0.0227301592160512
A,46,acf_lag9_std,OD,0.1116157142608527
A,46,dtw_mean,OD,2.693755541094057
A,46,dtw_median,OD,2.686952933211253
A,46,dtw_std,OD,0.0882672813497157
B,42,emd,OD,0.0229379805629008
B,42,moment_mean,OD,1.4070339987298917
B,42,moment_std,OD,0.8839933147241738
B,42,moment_skewness,OD,1.3655798412279023
B,42,moment_kurtosis,OD,0.7768219209344913
B,42,acf_lag0_mean,OD,1.0
B,42,acf_lag0_std,OD,0.0
B,42,acf_lag1_mean,OD,0.6965233188661055
B,42,acf_lag1_std,OD,0.019441736855533
B,42,acf_lag2_mean,OD,0.4074787518752637
B,42,acf_lag2_std,OD,0.0226427905752461
B,42,acf_lag3_mean,OD,0.1453753499331263
B,42,acf_lag3_std,OD,0.01275644897498
B,42,acf_lag4_mean,OD,-0.0799964773150184
B,42,acf_lag4_std,OD,0.0152527274064941
B,42,acf_lag5_mean,OD,-0.2569569303201957
B,42,acf_lag5_std,OD,0.0285917646529705
B,42,acf_lag6_mean,OD,-0.3727394906821303
B,42,acf_lag6_std,OD,0.0243743035876846
B,42,acf_lag7_mean,OD,-0.4171767397641362
B,42,acf_lag7_std,OD,0.0129624636436595
B,42,acf_lag8_mean,OD,-0.3788233681929208
B,42,acf_lag8_std,OD,0.0134064729981161
B,42,acf_lag9_mean,OD,-0.2436844144000941
B,42,acf_lag9_std,OD,0.0153203982078763
B,42,dtw_mean,OD,0.2648187239898105
B,42,dtw_median,OD,0.1915584692789723
B,42,dtw_std,OD,0.249223018075216
B,42,emd,transformed,0.1209437521974768
B,43,emd,OD,0.0343041743190838
B,43,moment_mean,OD,1.394625185557305
B,43,moment_std,OD,0.8584156372841492
B,43,moment_skewness,OD,1.3696820018786535
B,43,moment_kurtosis,OD,0.8381073781133317
B,43,acf_lag0_mean,OD,1.0
B,43,acf_lag0_std,OD,0.0
B,43,acf_lag1_mean,OD,0.6955123071127722
B,43,acf_lag1_std,OD,0.0222340410966714
B,43,acf_lag2_mean,OD,0.4071138299928175
B,43,acf_lag2_std,OD,0.0244631031797605
B,43,acf_lag3_mean,OD,0.1446960880328268
B,43,acf_lag3_std,OD,0.0134050526638389
B,43,acf_lag4_mean,OD,-0.0797273460484454
B,43,acf_lag4_std,OD,0.0165647886751904
B,43,acf_lag5_mean,OD,-0.2557229644860527
B,43,acf_lag5_std,OD,0.0323904781608474
B,43,acf_lag6_mean,OD,-0.3724050552574525
B,43,acf_lag6_std,OD,0.0267942491871806
B,43,acf_lag7_mean,OD,-0.4174048009893344
B,43,acf_lag7_std,OD,0.0131085872404317
B,43,acf_lag8_mean,OD,-0.378444083825764
B,43,acf_lag8_std,OD,0.0137061398419007
B,43,acf_lag9_mean,OD,-0.2436179745313675
B,43,acf_lag9_std,OD,0.0175518727766418
B,43,dtw_mean,OD,0.2984702436325633
B,43,dtw_median,OD,0.1749756947001179
B,43,dtw_std,OD,0.3901517824306812
B,43,emd,transformed,0.1217597758636017
B,44,emd,OD,0.0317858515130699
B,44,moment_mean,OD,1.3940951459786537
B,44,moment_std,OD,0.8693678275352255
B,44,moment_skewness,OD,1.3846514209039276
B,44,moment_kurtosis,OD,0.8499492848820362
B,44,acf_lag0_mean,OD,1.0
B,44,acf_lag0_std,OD,0.0
B,44,acf_lag1_mean,OD,0.6954980595035919
B,44,acf_lag1_std,OD,0.0208205685017272
B,44,acf_lag2_mean,OD,0.4068884112833461
B,44,acf_lag2_std,OD,0.0222910857877228
B,44,acf_lag3_mean,OD,0.1444998558144968
B,44,acf_lag3_std,OD,0.0138180079619883
B,44,acf_lag4_mean,OD,-0.0808235708474321
B,44,acf_lag4_std,OD,0.0160347706748269
B,44,acf_lag5_mean,OD,-0.257173040177766
B,44,acf_lag5_std,OD,0.0290313161223761
B,44,acf_lag6_mean,OD,-0.3729247470286586
B,44,acf_lag6_std,OD,0.0233092493621649
B,44,acf_lag7_mean,OD,-0.4163564866700368
B,44,acf_lag7_std,OD,0.0152482813572534
B,44,acf_lag8_mean,OD,-0.376793583600496
B,44,acf_lag8_std,OD,0.0150669029662193
B,44,acf_lag9_mean,OD,-0.2428148982770452
B,44,acf_lag9_std,OD,0.0170688860735097
B,44,dtw_mean,OD,0.2998783375547892
B,44,dtw_median,OD,0.189571417330035
B,44,dtw_std,OD,0.3624867638740116
B,44,emd,transformed,0.1221281463066824
B,45,emd,OD,0.025033291321873
B,45,moment_mean,OD,1.413069309061189
B,45,moment_std,OD,0.8864738266801485
B,45,moment_skewness,OD,1.3582356244122733
B,45,moment_kurtosis,OD,0.77732499268348
B,45,acf_lag0_mean,OD,1.0
B,45,acf_lag0_std,OD,0.0
B,45,acf_lag1_mean,OD,0.6959657015258344
B,45,acf_lag1_std,OD,0.0192878074382959
B,45,acf_lag2_mean,OD,0.407479256544802
B,45,acf_lag2_std,OD,0.0209453669444026
B,45,acf_lag3_mean,OD,0.1453639739690303
B,45,acf_lag3_std,OD,0.0135385416215107
B,45,acf_lag4_mean,OD,-0.0797775495060053
B,45,acf_lag4_std,OD,0.0144528316093653
B,45,acf_lag5_mean,OD,-0.256997940274532
B,45,acf_lag5_std,OD,0.0280266879427485
B,45,acf_lag6_mean,OD,-0.37318612297583
B,45,acf_lag6_std,OD,0.0226458155876691
B,45,acf_lag7_mean,OD,-0.4175247087517876
B,45,acf_lag7_std,OD,0.0134550120361867
B,45,acf_lag8_mean,OD,-0.3780978894219485
B,45,acf_lag8_std,OD,0.0133330541881165
B,45,acf_lag9_mean,OD,-0.2432247211095632
B,45,acf_lag9_std,OD,0.0148737594018347
B,45,dtw_mean,OD,0.353398955143327
B,45,dtw_median,OD,0.1614840464224881
B,45,dtw_std,OD,0.762589557517087
B,45,emd,transformed,0.1212141891761762
B,46,emd,OD,0.0238685926272972
B,46,moment_mean,OD,1.4039002505123028
B,46,moment_std,OD,0.8772902792435048
B,46,moment_skewness,OD,1.3281279695934167
B,46,moment_kurtosis,OD,0.6884089418587069
B,46,acf_lag0_mean,OD,1.0
B,46,acf_lag0_std,OD,0.0
B,46,acf_lag1_mean,OD,0.696151688571025
B,46,acf_lag1_std,OD,0.0202080937953716
B,46,acf_lag2_mean,OD,0.407964966933932
B,46,acf_lag2_std,OD,0.0199323990779208
B,46,acf_lag3_mean,OD,0.1453168411877711
B,46,acf_lag3_std,OD,0.0110737724872658
B,46,acf_lag4_mean,OD,-0.0799478765120765
B,46,acf_lag4_std,OD,0.013493141453085
B,46,acf_lag5_mean,OD,-0.2561430992477096
B,46,acf_lag5_std,OD,0.0262346392231035
B,46,acf_lag6_mean,OD,-0.3729083452515319
B,46,acf_lag6_std,OD,0.0218929737232908
B,46,acf_lag7_mean,OD,-0.4176564579874789
B,46,acf_lag7_std,OD,0.0128310053252201
B,46,acf_lag8_mean,OD,-0.3788159094830623
B,46,acf_lag8_std,OD,0.0113378079242635
B,46,acf_lag9_mean,OD,-0.2439618082108688
B,46,acf_lag9_std,OD,0.016122683616942
B,46,dtw_mean,OD,0.2872919621084134
B,46,dtw_median,OD,0.217832484985517
B,46,dtw_std,OD,0.4315204443033498
B,46,emd,transformed,0.1212732475827292
C,42,emd,OD,0.0272830537559459
C,42,moment_mean,OD,1.3993141568833165
C,42,moment_std,OD,0.8576823408691842
C,42,moment_skewness,OD,1.3263385582542797
C,42,moment_kurtosis,OD,0.7197607407188906
C,42,acf_lag0_mean,OD,1.0
C,42,acf_lag0_std,OD,0.0
C,42,acf_lag1_mean,OD,0.6977250197776664
C,42,acf_lag1_std,OD,0.0157505836236902
C,42,acf_lag2_mean,OD,0.4090163344724594
C,42,acf_lag2_std,OD,0.0183644261810567
C,42,acf_lag3_mean,OD,0.1464218907166378
C,42,acf_lag3_std,OD,0.0102917733610513
C,42,acf_lag4_mean,OD,-0.0796042437050242
C,42,acf_lag4_std,OD,0.0124738123874487
C,42,acf_lag5_mean,OD,-0.257202113444111
C,42,acf_lag5_std,OD,0.0233794639617716
C,42,acf_lag6_mean,OD,-0.3737568164355044
C,42,acf_lag6_std,OD,0.0198360273794013
C,42,acf_lag7_mean,OD,-0.4185185098449219
C,42,acf_lag7_std,OD,0.0103750412359228
C,42,acf_lag8_mean,OD,-0.3798426968277964
C,42,acf_lag8_std,OD,0.0109662625665721
C,42,acf_lag9_mean,OD,-0.2442388647094058
C,42,acf_lag9_std,OD,0.0125486704847576
C,42,dtw_mean,OD,0.3472512339004909
C,42,dtw_median,OD,0.2289546768436048
C,42,dtw_std,OD,0.328124480943991
C,42,emd,transformed,0.0154789178133452
C,43,emd,OD,0.0285990603697309
C,43,moment_mean,OD,1.426141225683352
C,43,moment_std,OD,0.8775705424042001
C,43,moment_skewness,OD,1.3037523245470686
C,43,moment_kurtosis,OD,0.6125844294463225
C,43,acf_lag0_mean,OD,1.0
C,43,acf_lag0_std,OD,0.0
C,43,acf_lag1_mean,OD,0.6970305794561498
C,43,acf_lag1_std,OD,0.0180016352343263
C,43,acf_lag2_mean,OD,0.4088233750467746
C,43,acf_lag2_std,OD,0.0197747317369556
C,43,acf_lag3_mean,OD,0.1459565039561962
C,43,acf_lag3_std,OD,0.0107516413266663
C,43,acf_lag4_mean,OD,-0.0794674635907973
C,43,acf_lag4_std,OD,0.0135761757840842
C,43,acf_lag5_mean,OD,-0.2563888438455713
C,43,acf_lag5_std,OD,0.0264493034980879
C,43,acf_lag6_mean,OD,-0.3735755544433278
C,43,acf_lag6_std,OD,0.0217741793851735
C,43,acf_lag7_mean,OD,-0.418676780961053
C,43,acf_lag7_std,OD,0.0105166519615736
C,43,acf_lag8_mean,OD,-0.3795123723892816
C,43,acf_lag8_std,OD,0.0112849511385607
C,43,acf_lag9_mean,OD,-0.2441894432290894
C,43,acf_lag9_std,OD,0.0143819793024452
C,43,dtw_mean,OD,0.2886146316083406
C,43,dtw_median,OD,0.2164261255824233
C,43,dtw_std,OD,0.2808917573054644
C,43,emd,transformed,0.0154477178944754
C,44,emd,OD,0.0363650995920516
C,44,moment_mean,OD,1.4355729026986654
C,44,moment_std,OD,0.8811773650716718
C,44,moment_skewness,OD,1.2717797171588534
C,44,moment_kurtosis,OD,0.5313654801737213
C,44,acf_lag0_mean,OD,1.0
C,44,acf_lag0_std,OD,0.0
C,44,acf_lag1_mean,OD,0.6969132038885367
C,44,acf_lag1_std,OD,0.0171332363565251
C,44,acf_lag2_mean,OD,0.4086188090799633
C,44,acf_lag2_std,OD,0.0183314384915666
C,44,acf_lag3_mean,OD,0.1457950482175707
C,44,acf_lag3_std,OD,0.011275435151057
C,44,acf_lag4_mean,OD,-0.0801856374721617
C,44,acf_lag4_std,OD,0.0130092705742329
C,44,acf_lag5_mean,OD,-0.25732201336431
C,44,acf_lag5_std,OD,0.0238656149417533
C,44,acf_lag6_mean,OD,-0.3738723428593554
